cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread
1,0.4207,True,,False,0.0638
2,0.5211,True,0.1235,True,0.0146
3,0.445,False,,False,
4,0.5936,True,,False,0.0028
5,0.4988,True,0.1317,True,0.0388
6,0.4079,True,0.0808,True,0.0252
7,0.445,False,,False,
8,0.5073,True,0.137,True,0.0185
9,0.3434,True,0.0515,True,0.0159
10,0.4937,True,,False,0.0269
11,0.4611,True,,False,0.0429
12,0.4488,True,0.1084,True,0.0124
13,0.3803,True,,False,0.0309
14,0.4613,True,,False,0.0353
15,0.4678,True,,False,0.025
16,0.5493,True,,False,0.0049
17,0.4398,True,,False,0.0014
18,0.4843,True,0.1328,True,0.0489
19,0.6663,True,0.1489,True,0.019
20,0.7215,True,,False,0.0643
21,0.6745,True,0.1128,True,0.0032
22,0.5626,True,,False,0.0035
23,0.5545,True,,False,0.0068
24,0.445,False,,False,
25,0.4147,True,0.1159,True,0.0183
26,0.6215,True,,False,0.0002
27,0.5892,True,0.1182,True,0.0093
28,0.3927,True,,False,0.0486
29,0.7117,True,,False,0.0356
30,0.445,False,,False,
31,0.561,True,0.0602,True,0.0199
32,0.4048,True,0.0388,True,0.0202
33,0.3982,True,,False,0.0428
34,0.4432,True,,False,0.0052
35,0.5285,True,,False,0.0089
36,0.5206,True,,False,0.0033
37,0.5041,True,,False,0.0152
38,0.5335,True,0.1923,True,0.0027
39,0.4322,True,,False,0.0327
40,0.6831,True,0.1388,True,0.0601
41,0.445,False,,False,
42,0.3525,True,,False,0.0296
43,0.5033,True,,False,0.0038
44,0.445,False,,False,
45,0.5092,True,,False,0.0319
46,0.378,True,,False,0.0297
47,0.445,False,,False,
48,0.531,True,,False,0.0363
49,0.445,False,,False,
50,0.445,False,,False,
51,0.5049,True,0.1791,True,0.0214
52,0.4641,True,,False,0.0198
53,0.3944,True,,False,0.0271
54,0.5335,True,,False,0.0663
55,0.4812,True,,False,0.0283
56,0.6013,True,,False,0.0037
57,0.4826,True,,False,0.0225
58,0.5615,True,,False,0.0127
59,0.7147,True,,False,0.0217
60,0.5505,True,,False,0.0313
61,0.4409,True,,False,0.0443
62,0.7289,True,,False,0.0045
63,0.4714,True,,False,0.0293
64,0.368,True,0.0793,True,0.0149
65,0.6229,True,,False,0.0027
66,0.2955,True,,False,0.0115
67,0.5354,True,,False,0.0065
68,0.3435,True,,False,0.0107
69,0.528,True,,False,0.026
70,0.6799,True,0.1843,True,0.0086
71,0.5891,True,,False,0.0413
72,0.4141,True,0.103,True,0.0023
73,0.6278,True,,False,0.0116
74,0.5178,True,,False,0.021
75,0.6045,True,,False,0.019
76,0.3573,True,0.0448,True,0.0168
77,0.4602,True,0.1023,True,0.022
78,0.5215,True,,False,0.0103
79,0.6059,True,,False,0.0066
80,0.6194,True,0.1223,True,0.0293
81,0.5584,True,,False,0.0247
82,0.3404,True,,False,0.0698
83,0.5867,True,,False,0.0572
84,0.4553,True,0.1241,True,0.0224
85,0.6067,True,0.1336,True,0.0022
86,0.6951,True,,False,0.0335
87,0.4036,True,,False,0.0551
88,0.445,False,,False,
89,0.4982,True,,False,0.0207
90,0.4353,True,,False,0.0333
91,0.4632,True,0.126,True,0.0254
92,0.5812,True,,False,0.0115
93,0.6217,True,0.2455,True,0.006
94,0.524,True,,False,0.0142
95,0.5947,True,0.117,True,0.0188
96,0.56,True,,False,0.0577
97,0.4816,True,,False,0.0062
98,0.4242,True,,False,0.0138
99,0.5282,True,,False,0.0281
100,0.2621,True,,False,0.0192
101,0.3113,True,,False,0.0426
102,0.364,True,,False,0.0339
103,0.445,False,,False,
104,0.5857,True,,False,0.0052
105,0.4788,True,0.0888,True,0.0594
106,0.5477,True,,False,0.0102
107,0.5282,True,,False,0.0141
108,0.2793,True,,False,0.0465
109,0.5113,True,,False,0.0072
110,0.374,True,,False,0.0504
111,0.3745,True,,False,0.0413
112,0.5423,True,0.0748,True,0.0334
113,0.4036,True,,False,0.0019
114,0.5748,True,,False,0.0383
115,0.445,False,,False,
116,0.5918,True,0.1654,True,0.0497
117,0.3932,True,0.1023,True,0.001
118,0.5906,True,,False,0.0214
119,0.6035,True,,False,0.0399
120,0.4404,True,0.1103,True,0.0172
121,0.3752,True,,False,0.0257
122,0.4379,True,0.1681,True,0.0072
123,0.4764,True,,False,0.0137
124,0.4908,True,,False,0.0037
125,0.445,False,,False,
126,0.3793,True,0.0886,True,0.0098
127,0.3133,True,,False,0.0077
128,0.3316,True,0.072,True,0.005
129,0.445,False,,False,
130,0.5598,True,,False,0.0277
131,0.3182,True,-0.0113,True,0.0169
